	delta	method	power
0	0.0	angle	0.054
1	0.2	angle	0.072
2	0.4	angle	0.206
3	0.6	angle	0.39
4	0.8	angle	0.636
5	1.0	angle	0.822
6	1.2	angle	0.944
7	1.4	angle	0.986
8	0.0	ball	0.06
9	0.2	ball	0.064
10	0.4	ball	0.184
11	0.6	ball	0.366
12	0.8	ball	0.602
13	1.0	ball	0.804
14	1.2	ball	0.942
15	1.4	ball	0.984
16	0.0	graph	0.048
17	0.2	graph	0.07
18	0.4	graph	0.106
19	0.6	graph	0.16
20	0.8	graph	0.34
21	1.0	graph	0.508
22	1.2	graph	0.708
23	1.4	graph	0.874
24	0.0	energy	0.054
25	0.2	energy	0.07
26	0.4	energy	0.128
27	0.6	energy	0.222
28	0.8	energy	0.36
29	1.0	energy	0.554
30	1.2	energy	0.708
31	1.4	energy	0.846
